site,year,plant_sp,record_id,specimen_id,date,week_num,SP,block,order,family,genus,species,bp
CRC,2015,ACMI2,333,SARE_0333,6/23/15,26,2,2,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,early
CRC,2015,ACMI2,78,SARE_0078,6/16/15,25,2,4,Hymenoptera,Halictidae,Lasioglossum,albipenne,early
CRC,2015,ACMI2,490,SARE_0490,6/29/15,27,2,4,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,ACMI2,302,SARE_0302,6/23/15,26,2,3,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,early
CRC,2015,ACMI2,301,SARE_0301,6/23/15,26,2,3,Hymenoptera,Andrenidae,Andrena,wilkella,early
CRC,2015,ACMI2,592,SARE_0592,7/6/15,28,2,2,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,ACMI2,285,SARE_0285,6/23/15,26,2,1,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,ACMI2,598,SARE_0598,7/6/15,28,2,3,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,ACMI2,341,SARE_0341,6/23/15,26,2,4,Hymenoptera,Halictidae,Augochlorella,aurata,early
CRC,2015,ACMI2,612,SARE_0612,7/6/15,28,1,3,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,early
CRC,2015,ACMI2,464,SARE_0464,6/29/15,27,1,4,Hymenoptera,Halictidae,Lasioglossum,perpunctatum,early
CRC,2015,ACMI2,582,SARE_0582,7/6/15,28,2,1,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,AMCA6,777,SARE_0777,7/16/15,29,1,3,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,early
CRC,2015,AMCA6,1016,SARE_1016,7/23/15,30,2,3,Hymenoptera,Halictidae,Lasioglossum,tegulare,early
CRC,2015,ASTU,1407,SARE_1407,8/5/15,32,2,1,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,middle
CRC,2015,ASTU,1382,SARE_1382,8/5/15,32,2,4,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,middle
CRC,2015,ASTU,1383,SARE_1383,8/5/15,32,2,4,Hymenoptera,Halictidae,Lasioglossum,admirandum,middle
CRC,2015,ASTU,1408,SARE_1408,8/5/15,32,2,1,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,middle
CRC,2015,ASTU,1405,SARE_1405,8/5/15,32,2,3,Hymenoptera,Halictidae,Halictus,ligatus,middle
CRC,2015,ASTU,1358,SARE_1358,8/5/15,32,1,1,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,middle
CRC,2015,ASTU,895,SARE_0895,7/23/15,30,1,3,Hymenoptera,Halictidae,Lasioglossum,albipenne,middle
CRC,2015,ASTU,1359,SARE_1359,8/5/15,32,1,3,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,middle
CRC,2015,ASTU,1355,SARE_1355,8/5/15,32,1,2,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,middle
CRC,2015,ASVE,1965,SARE_1965,8/17/15,34,2,4,Hymenoptera,Halictidae,Lasioglossum,paradmirandum,middle
CRC,2015,ASVE,1694,SARE_1694,8/11/15,33,2,3,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,middle
CRC,2015,ASVE,1452,SARE_1452,8/11/15,33,1,3,Hymenoptera,Colletidae,Hylaeus,affinis/modestus,middle
CRC,2015,ASVE,1964,SARE_1964,8/17/15,34,2,4,Hymenoptera,Colletidae,Hylaeus,affinis/modestus,middle
CRC,2015,ASVE,1650,SARE_1650,8/11/15,33,2,4,Hymenoptera,Halictidae,Halictus,confusus ,middle
CRC,2015,ASVE,1330,SARE_1330,8/5/15,32,1,2,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,middle
CRC,2015,ASVE,1691,SARE_1691,8/11/15,33,2,3,Hymenoptera,Apidae,Xylocopa,virginica,middle
CRC,2015,ASVE,1326,SARE_1326,8/5/15,32,1,4,Hymenoptera,Halictidae,Lasioglossum,versatum,middle
CRC,2015,ASVE,1679,SARE_1679,8/11/15,33,2,2,Hymenoptera,Halictidae,Lasioglossum,ephialtum,middle
CRC,2015,ASVE,1651,SARE_1651,8/11/15,33,2,4,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,middle
CRC,2015,ASVE,1410,SARE_1410,8/5/15,32,2,2,Hymenoptera,Halictidae,Lasioglossum,pilosum,middle
CRC,2015,ASVE,1479,SARE_1479,8/11/15,33,1,2,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,middle
CRC,2015,ASVE,1353,SARE_1353,8/5/15,32,1,1,Hymenoptera,Colletidae,Hylaeus,affinis/modestus,middle
