plant_sp,year,site,bloom_prd,chroma,hue,categorical,pol.unit
ACMI2,2015,CRC,early,0.052181962,62.0527516,white,188.48
ACMI2,2015,NWMHRC,early,0.052181962,62.0527516,white,188.48
ACMI2,2015,SWMREC,early,0.052181962,62.0527516,white,188.48
ACMI2,2016,CRC,early,0.052181962,62.0527516,white,188.48
ACMI2,2016,NWMHRC,early,0.052181962,62.0527516,white,188.48
ACMI2,2016,SWMREC,early,0.052181962,62.0527516,white,188.48
AMCA6,2015,CRC,early,0.307454315,300.0753821,purple,NA
AMCA6,2015,NWMHRC,middle,0.307454315,300.0753821,purple,NA
AMCA6,2015,SWMREC,early,0.307454315,300.0753821,purple,NA
AMCA6,2016,CRC,early,0.307454315,300.0753821,purple,NA
AMCA6,2016,NWMHRC,middle,0.307454315,300.0753821,purple,NA
AMCA6,2016,SWMREC,early,0.307454315,300.0753821,purple,NA
ASSY,2015,CRC,middle,0.153022485,10.908157,pink,2.84
ASSY,2015,NWMHRC,middle,0.153022485,10.908157,pink,2.84
ASSY,2016,CRC,early,0.153022485,10.908157,pink,2.84
ASSY,2016,NWMHRC,early,0.153022485,10.908157,pink,2.84
ASSY,2016,SWMREC,early,0.153022485,10.908157,pink,2.84
ASTU,2015,CRC,middle,0.475557708,24.09481598,orange,3.96
ASTU,2015,NWMHRC,middle,0.475557708,24.09481598,orange,3.96
ASTU,2015,SWMREC,middle,0.475557708,24.09481598,orange,3.96
ASTU,2016,CRC,early,0.475557708,24.09481598,orange,3.96
ASTU,2016,NWMHRC,early,0.475557708,24.09481598,orange,3.96
ASTU,2016,SWMREC,early,0.475557708,24.09481598,orange,3.96
ASVE,2015,CRC,middle,0.098319303,86.76271742,white,2.88
ASVE,2015,NWMHRC,middle,0.098319303,86.76271742,white,2.88
ASVE,2015,SWMREC,middle,0.098319303,86.76271742,white,2.88
ASVE,2016,CRC,middle,0.098319303,86.76271742,white,2.88
ASVE,2016,NWMHRC,middle,0.098319303,86.76271742,white,2.88
ASVE,2016,SWMREC,late,0.098319303,86.76271742,white,2.88
BAALM,2016,CRC,early,0.01282776,94.60734831,white,4955.04
BAALM,2016,NWMHRC,early,0.01282776,94.60734831,white,4955.04
BAALM,2016,SWMREC,early,0.01282776,94.60734831,white,4955.04
CARO2,2015,CRC,middle,0.143279075,296.4942935,purple,813.8666667
CARO2,2015,NWMHRC,early,0.143279075,296.4942935,purple,813.8666667
CARO2,2015,SWMREC,early,0.143279075,296.4942935,purple,813.8666667
CARO2,2016,CRC,middle,0.143279075,296.4942935,purple,813.8666667
CARO2,2016,NWMHRC,early,0.143279075,296.4942935,purple,813.8666667
