plant_sp,nectar
ACMI2,0
ASSY,7.732421875
ASTU,2.2265625
ASVE,1.015625
BAALM,0.4
CARO2,0.06875
CESTM,0
CHANA2,0.53125
COLA5,0
COPA10,0.0375
COTR4,0.005859375
DAFR6,0
DAPU5,0
ECPU,0
ERYU,0
HEOC2,0.185267857
HEST,0.12578125
HYPR,0
LECA8,0.114583333
LEHI2,0.0703125
LIAS,2.3125
LICY,0
LOCO6,0
MOFI,2.944097222
MOPU,0.15625
OEBI,0.08984375
OEFR,0.040178571
OLRI,0
PEDI,0.046875
PYVI,0.044921875
RAPI,0
RUHI2,0
SIIN2,1.009375
SILA3,0.78125
SITE,2.959375
SOJU,0
SONE,0.00625
SYOO,0
SYSE2,0.2625
TROH,0.23125
VEST,0.045572917
