"","plant_sp","site","year","week_num","block","species","common.NAme","tot_flw","avg_flor_area","tot_flor_area","avg_tall_flw","per_tar_cov","avg_fw","bloom_prd","chroma","hue","categorical","pol.unit","nectar"
"1","ACMI2","NWMHRC",2016,27,1,"Achillea millefolium","Yarrow",19,22.52,427.88,37,"15",0.58,"early",0.052181962,62.0527516,"white",188.48,0
"2","ACMI2","CRC",2015,26,1,"Achillea millefolium","Yarrow",11375,22.5242,2049.7022,88,"95",0.48,"early",0.052181962,62.0527516,"white",188.48,0
"3","ACMI2","CRC",2015,28,1,"Achillea millefolium","Yarrow",12035,22.5242,1869.5086,90,"95",0.48,"early",0.052181962,62.0527516,"white",188.48,0
"4","ACMI2","CRC",2015,26,4,"Achillea millefolium","Yarrow",18705,22.5242,2905.6218,82.5,"75",0.48,"early",0.052181962,62.0527516,"white",188.48,0
"5","ACMI2","NWMHRC",2016,27,3,"Achillea millefolium","Yarrow",16017,22.52,6328.12,71,"90",0.58,"early",0.052181962,62.0527516,"white",188.48,0
"6","ACMI2","SWMREC",2015,27,2,"Achillea millefolium","Yarrow",9715,22.5242,1509.1214,68.5,"60",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"7","ACMI2","CRC",2015,27,2,"Achillea millefolium","Yarrow",7597.8,22.5242,1419.0246,77,"80",0.48,"early",0.052181962,62.0527516,"white",188.48,0
"8","ACMI2","NWMHRC",2016,28,1,"Achillea millefolium","Yarrow",967.6,22.52,923.32,35.5,"15",0.58,"early",0.052181962,62.0527516,"white",188.48,0
"9","ACMI2","NWMHRC",2015,29,1,"Achillea millefolium","Yarrow",3998.4,22.5242,1531.6456,62,"65",0.58,"early",0.052181962,62.0527516,"white",188.48,0
"10","ACMI2","SWMREC",2015,26,1,"Achillea millefolium","Yarrow",12033.6,22.5242,1554.1698,73,"70",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"11","ACMI2","NWMHRC",2016,27,4,"Achillea millefolium","Yarrow",1400,22.52,900.8,44,"20",0.58,"early",0.052181962,62.0527516,"white",188.48,0
"12","ACMI2","SWMREC",2016,27,1,"Achillea millefolium","Yarrow",9907.2,22.52,1441.28,66.5,"70",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"13","ACMI2","SWMREC",2016,25,3,"Achillea millefolium","Yarrow",22017,22.52,2769.96,73,"88",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"14","ACMI2","SWMREC",2015,27,1,"Achillea millefolium","Yarrow",6960,22.5242,1081.1616,73,"70",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"15","ACMI2","NWMHRC",2016,29,4,"Achillea millefolium","Yarrow",3260,22.52,1126,54,"20",0.58,"early",0.052181962,62.0527516,"white",188.48,0
"16","ACMI2","NWMHRC",2015,30,1,"Achillea millefolium","Yarrow",3024,22.5242,1576.694,65,"85",0.58,"early",0.052181962,62.0527516,"white",188.48,0
"17","ACMI2","SWMREC",2015,25,2,"Achillea millefolium","Yarrow",9252,22.5242,1351.452,70.5,"80",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"18","ACMI2","SWMREC",2016,25,4,"Achillea millefolium","Yarrow",18974,22.52,2387.12,73,"95",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"19","ACMI2","CRC",2015,28,2,"Achillea millefolium","Yarrow",9425,22.5242,1464.073,66,"100",0.48,"early",0.052181962,62.0527516,"white",188.48,0
"20","ACMI2","CRC",2015,28,3,"Achillea millefolium","Yarrow",5945,22.5242,923.4922,83.5,"50",0.48,"early",0.052181962,62.0527516,"white",188.48,0
"21","ACMI2","CRC",2015,27,3,"Achillea millefolium","Yarrow",2536.6,22.5242,473.0082,85,"50",0.48,"early",0.052181962,62.0527516,"white",188.48,0
"22","ACMI2","NWMHRC",2016,28,2,"Achillea millefolium","Yarrow",4254.2,22.52,2004.28,58,"30",0.58,"early",0.052181962,62.0527516,"white",188.48,0
"23","ACMI2","NWMHRC",2015,30,4,"Achillea millefolium","Yarrow",4406.4,22.5242,2297.4684,82,"100",0.58,"early",0.052181962,62.0527516,"white",188.48,0
"24","ACMI2","NWMHRC",2015,30,3,"Achillea millefolium","Yarrow",7300.8,22.5242,3806.5898,73,"100",0.58,"early",0.052181962,62.0527516,"white",188.48,0
"25","ACMI2","CRC",2015,27,4,"Achillea millefolium","Yarrow",11457,22.5242,2139.799,84,"90",0.48,"early",0.052181962,62.0527516,"white",188.48,0
"26","ACMI2","CRC",2015,27,1,"Achillea millefolium","Yarrow",10371.6,22.5242,1937.0812,90,"95",0.48,"early",0.052181962,62.0527516,"white",188.48,0
"27","ACMI2","SWMREC",2015,26,3,"Achillea millefolium","Yarrow",6801.6,22.5242,878.4438,72.5,"70",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"28","ACMI2","CRC",2016,27,4,"Achillea millefolium","Yarrow",14155,22.52,2139.4,85,"85",0.48,"early",0.052181962,62.0527516,"white",188.48,0
"29","ACMI2","CRC",2015,26,2,"Achillea millefolium","Yarrow",11387.2,22.5242,1982.1296,68,"95",0.48,"early",0.052181962,62.0527516,"white",188.48,0
"30","ACMI2","CRC",2016,28,2,"Achillea millefolium","Yarrow",546,22.52,315.28,53.5,"30",0.48,"early",0.052181962,62.0527516,"white",188.48,0
"31","ACMI2","SWMREC",2016,26,1,"Achillea millefolium","Yarrow",21073.8,22.52,2094.36,65,"80",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"32","ACMI2","NWMHRC",2016,29,1,"Achillea millefolium","Yarrow",729,22.52,608.04,36,"10",0.58,"early",0.052181962,62.0527516,"white",188.48,0
"33","ACMI2","SWMREC",2015,26,4,"Achillea millefolium","Yarrow",4534.4,22.5242,585.6292,66.5,"80",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"34","ACMI2","SWMREC",2016,26,3,"Achillea millefolium","Yarrow",13369.4,22.52,1328.68,75.5,"95",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"35","ACMI2","SWMREC",2015,27,3,"Achillea millefolium","Yarrow",5075,22.5242,788.347,73,"85",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"36","ACMI2","NWMHRC",2016,28,3,"Achillea millefolium","Yarrow",14950,22.52,5630,73,"90",0.58,"early",0.052181962,62.0527516,"white",188.48,0
