week_num,site,year,block,plant_sp,species,common.NAme,tot_flw,avg_flor_area,tot_flor_area,avg_tall_flw,per_tar_cov,tot_hb,tol_syr
26,CRC,2015,4,ACMI2,Achillea millefolium,Yarrow,18705,22.5242,2905.6218,82.5,75,0,11
26,CRC,2015,3,ACMI2,Achillea millefolium,Yarrow,3480,22.5242,540.5808,83.5,60,0,6
26,CRC,2015,2,ACMI2,Achillea millefolium,Yarrow,11387.2,22.5242,1982.1296,68,95,0,17
26,CRC,2015,1,ACMI2,Achillea millefolium,Yarrow,11375,22.5242,2049.7022,88,95,0,19
27,CRC,2015,2,ACMI2,Achillea millefolium,Yarrow,7597.8,22.5242,1419.0246,77,80,0,5
27,CRC,2015,3,ACMI2,Achillea millefolium,Yarrow,2536.6,22.5242,473.0082,85,50,0,3
27,CRC,2015,1,ACMI2,Achillea millefolium,Yarrow,10371.6,22.5242,1937.0812,90,95,0,7
27,CRC,2015,4,ACMI2,Achillea millefolium,Yarrow,11457,22.5242,2139.799,84,90,0,7
28,CRC,2015,4,ACMI2,Achillea millefolium,Yarrow,12470,22.5242,1937.0812,86.5,90,0,5
28,CRC,2015,1,ACMI2,Achillea millefolium,Yarrow,12035,22.5242,1869.5086,90,95,0,10
28,CRC,2015,3,ACMI2,Achillea millefolium,Yarrow,5945,22.5242,923.4922,83.5,50,0,6
28,CRC,2015,2,ACMI2,Achillea millefolium,Yarrow,9425,22.5242,1464.073,66,100,0,10
25,SWMREC,2015,1,ACMI2,Achillea millefolium,Yarrow,8576,22.5242,1441.5488,74.5,80,0,4
25,SWMREC,2015,2,ACMI2,Achillea millefolium,Yarrow,9252,22.5242,1351.452,70.5,80,0,0
25,SWMREC,2015,3,ACMI2,Achillea millefolium,Yarrow,9222.4,22.5242,1441.5488,73,60,0,0
25,SWMREC,2015,4,ACMI2,Achillea millefolium,Yarrow,2161.5,22.5242,337.863,65,50,0,1
25,SWMREC,2016,2,ACMI2,Achillea millefolium,Yarrow,11277,22.52,1418.76,51,70,0,0
25,SWMREC,2016,1,ACMI2,Achillea millefolium,Yarrow,13981.5,22.52,1756.56,66,80,0,0
25,SWMREC,2016,4,ACMI2,Achillea millefolium,Yarrow,18974,22.52,2387.12,73,95,0,2
25,SWMREC,2016,3,ACMI2,Achillea millefolium,Yarrow,22017,22.52,2769.96,73,88,0,1
26,SWMREC,2016,2,ACMI2,Achillea millefolium,Yarrow,14275.8,22.52,1418.76,53,90,0,1
26,SWMREC,2016,1,ACMI2,Achillea millefolium,Yarrow,21073.8,22.52,2094.36,65,80,0,2
26,SWMREC,2016,4,ACMI2,Achillea millefolium,Yarrow,14049.2,22.52,1396.24,75.5,95,0,3
26,SWMREC,2016,3,ACMI2,Achillea millefolium,Yarrow,13369.4,22.52,1328.68,75.5,95,0,1
26,CRC,2016,2,ACMI2,Achillea millefolium,Yarrow,370.8,22.52,202.68,57,45,0,0
26,CRC,2016,4,ACMI2,Achillea millefolium,Yarrow,18177,22.52,4931.88,83.5,100,0,8
26,CRC,2016,3,ACMI2,Achillea millefolium,Yarrow,5974,22.52,3265.4,82,90,1,4
26,SWMREC,2015,3,ACMI2,Achillea millefolium,Yarrow,6801.6,22.5242,878.4438,72.5,70,0,5
26,SWMREC,2015,4,ACMI2,Achillea millefolium,Yarrow,4534.4,22.5242,585.6292,66.5,80,2,7
26,SWMREC,2015,2,ACMI2,Achillea millefolium,Yarrow,8196.8,22.5242,1058.6374,71,55,0,0
26,SWMREC,2015,1,ACMI2,Achillea millefolium,Yarrow,12033.6,22.5242,1554.1698,73,70,1,5
27,CRC,2016,3,ACMI2,Achillea millefolium,Yarrow,13261,22.52,2004.28,79,95,0,3
27,CRC,2016,4,ACMI2,Achillea millefolium,Yarrow,14155,22.52,2139.4,85,85,0,9
27,CRC,2016,2,ACMI2,Achillea millefolium,Yarrow,849.6,22.52,405.36,57,25,0,0
27,NWMHRC,2016,1,ACMI2,Achillea millefolium,Yarrow,19,22.52,427.88,37,15,0,0
27,NWMHRC,2016,3,ACMI2,Achillea millefolium,Yarrow,16017,22.52,6328.12,71,90,1,0
27,NWMHRC,2016,2,ACMI2,Achillea millefolium,Yarrow,5320,22.52,1711.52,54,40,0,4
27,NWMHRC,2016,4,ACMI2,Achillea millefolium,Yarrow,1400,22.52,900.8,44,20,0,0
27,SWMREC,2016,2,ACMI2,Achillea millefolium,Yarrow,9169.8,22.52,1959.24,52.5,70,0,1
27,SWMREC,2016,4,ACMI2,Achillea millefolium,Yarrow,18111.6,22.52,2634.84,73,95,0,0
27,SWMREC,2016,1,ACMI2,Achillea millefolium,Yarrow,9907.2,22.52,1441.28,66.5,70,0,11
27,SWMREC,2016,3,ACMI2,Achillea millefolium,Yarrow,13385.8,22.52,2860.04,74,85,0,2
29,NWMHRC,2016,2,ACMI2,Achillea millefolium,Yarrow,4767.2,22.52,2274.52,54,20,0,0
29,NWMHRC,2016,4,ACMI2,Achillea millefolium,Yarrow,3260,22.52,1126,54,20,1,0
29,NWMHRC,2016,1,ACMI2,Achillea millefolium,Yarrow,729,22.52,608.04,36,10,1,0
29,NWMHRC,2016,3,ACMI2,Achillea millefolium,Yarrow,10740,22.52,6756,72.5,90,0,1
29,NWMHRC,2015,2,ACMI2,Achillea millefolium,Yarrow,4116,22.5242,1576.694,52,75,0,0
29,NWMHRC,2015,4,ACMI2,Achillea millefolium,Yarrow,7056,22.5242,2702.904,80,95,1,0
29,NWMHRC,2015,1,ACMI2,Achillea millefolium,Yarrow,3998.4,22.5242,1531.6456,62,65,0,1
29,NWMHRC,2015,3,ACMI2,Achillea millefolium,Yarrow,8232,22.5242,3153.388,77,85,3,0
27,SWMREC,2015,1,ACMI2,Achillea millefolium,Yarrow,6960,22.5242,1081.1616,73,70,1,0
27,SWMREC,2015,3,ACMI2,Achillea millefolium,Yarrow,5075,22.5242,788.347,73,85,0,0
27,SWMREC,2015,2,ACMI2,Achillea millefolium,Yarrow,9715,22.5242,1509.1214,68.5,60,0,1
27,SWMREC,2015,4,ACMI2,Achillea millefolium,Yarrow,6525,22.5242,1013.589,60.5,90,0,4
30,NWMHRC,2015,3,ACMI2,Achillea millefolium,Yarrow,7300.8,22.5242,3806.5898,73,100,0,0
30,NWMHRC,2015,1,ACMI2,Achillea millefolium,Yarrow,3024,22.5242,1576.694,65,85,0,0
30,NWMHRC,2015,4,ACMI2,Achillea millefolium,Yarrow,4406.4,22.5242,2297.4684,82,100,0,0
30,NWMHRC,2015,2,ACMI2,Achillea millefolium,Yarrow,3456,22.5242,1801.936,54,95,0,0
28,CRC,2016,4,ACMI2,Achillea millefolium,Yarrow,12120.8,22.52,2454.68,84,75,0,3
28,CRC,2016,3,ACMI2,Achillea millefolium,Yarrow,5902.4,22.52,2679.88,80,85,0,4
28,CRC,2016,2,ACMI2,Achillea millefolium,Yarrow,546,22.52,315.28,53.5,30,0,0
28,NWMHRC,2016,3,ACMI2,Achillea millefolium,Yarrow,14950,22.52,5630,73,90,0,3
28,NWMHRC,2016,4,ACMI2,Achillea millefolium,Yarrow,3684,22.52,1351.2,49,35,0,0
28,NWMHRC,2016,2,ACMI2,Achillea millefolium,Yarrow,4254.2,22.52,2004.28,58,30,0,2
28,NWMHRC,2016,1,ACMI2,Achillea millefolium,Yarrow,967.6,22.52,923.32,35.5,15,0,0
28,NWMHRC,2015,2,ACMI2,Achillea millefolium,Yarrow,5655,22.5242,878.4438,49,70,0,3
28,NWMHRC,2015,1,ACMI2,Achillea millefolium,Yarrow,4495,22.5242,698.2502,65,65,0,1
28,NWMHRC,2015,3,ACMI2,Achillea millefolium,Yarrow,10730,22.5242,1666.7908,68,75,1,6
28,NWMHRC,2015,4,ACMI2,Achillea millefolium,Yarrow,8555,22.5242,1328.9278,82,90,1,2
29,CRC,2015,3,AMCA6,Amorpha canescens,Lead Plant,9,5.6848,51.1632,47,45,0,1
30,CRC,2015,3,AMCA6,Amorpha canescens,Lead Plant,8,5.6848,45.4784,51,40,0,0
26,SWMREC,2016,1,AMCA6,Amorpha canescens,Lead Plant,10,5.6848,56.848,51,75,0,0
27,SWMREC,2016,3,AMCA6,Amorpha canescens,Lead Plant,2,5.6848,11.3696,45,40,0,0
